t;alpha;omega
18.6; 3.14; 3.71354e-06
18.6; 3.14; 3.7133e-06
18.65; 3.14; 3.49384e-06
18.65; 3.14; 3.49931e-06
18.7; 3.14; 3.2858e-06
18.7; 3.14; 3.28561e-06
18.75; 3.14; 3.07753e-06
18.75; 3.14; 3.08341e-06
18.8; 3.14; 2.88155e-06
18.8; 3.14; 2.88142e-06
18.85; 3.14; 2.6854e-06
18.85; 3.14; 2.69157e-06
18.9; 3.14; 2.50196e-06
18.9; 3.14; 2.50187e-06
18.95; 3.14; 2.3184e-06
18.95; 3.14; 2.32475e-06
19; 3.14; 2.14776e-06
19; 3.14; 2.1477e-06
19.05; 3.14; 1.97703e-06
19.05; 3.14; 1.98347e-06
19.1; 3.14; 1.81929e-06
19.1; 3.14; 1.81926e-06
19.15; 3.14; 1.66148e-06
19.15; 3.14; 1.66793e-06
19.2; 3.14; 1.51656e-06
19.2; 3.14; 1.51656e-06
19.25; 3.14; 1.37161e-06
19.25; 3.14; 1.37799e-06
19.3; 3.14; 1.23932e-06
19.3; 3.14; 1.23934e-06
19.35; 3.14; 1.10703e-06
19.35; 3.14; 1.11327e-06
19.4; 3.14; 9.87053e-07
19.4; 3.14; 9.87096e-07
19.45; 3.14; 8.67105e-07
19.45; 3.14; 8.73174e-07
19.5; 3.14; 7.59051e-07
19.5; 3.14; 7.59111e-07
19.55; 3.14; 6.51044e-07
19.55; 3.14; 6.56893e-07
19.6; 3.14; 5.54437e-07
19.6; 3.14; 5.5451e-07
19.65; 3.14; 4.57892e-07
19.65; 3.14; 4.63488e-07
19.7; 3.14; 3.72198e-07
19.7; 3.14; 3.72282e-07
19.75; 3.14; 2.86579e-07
19.75; 3.14; 2.91895e-07
19.8; 3.14; 2.11218e-07
19.8; 3.14; 2.11312e-07
19.85; 3.14; 1.35944e-07
19.85; 3.14; 1.40962e-07
19.9; 3.14; 7.03051e-08
19.9; 3.14; 7.0405e-08
19.95; 3.14; 4.76173e-09
19.95; 3.14; 9.4667e-09
20; 3.14; -5.17887e-08
